# author: Elliot Warren, Oct 2023
# data collected from PerlMutter super computer at Berkley
# memory latency data
Problem Size,sum direct,sum indirect,sum vector
8388608,0.0000000001,0.0000000037,0.0000000003
16777216,0.0000000001,0.0000000039,0.0000000003
33554432,0.0000000001,0.0000000049,0.0000000003
67108864,0.0000000001,0.0000000125,0.0000000003
134217728,0.0000000001,0.0000000157,0.0000000002
268435456,0.0000000001,0.0000000158,0.0000000002
